TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7471979587364204 VAR: 0.00042197035270803555 F1: 0.745334385702423 SEED: 21054
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7439067342913498 VAR: 0.0007234166043798223 F1: 0.7418679018822818 SEED: 19745
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7386431232585079 VAR: 0.0005573306057612462 F1: 0.7355656809164829 SEED: 28885
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7392849315926238 VAR: 0.00046034405561165234 F1: 0.737301320101125 SEED: 28885
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7412768855076547 VAR: 0.00048271311709550025 F1: 0.738935198637114 SEED: 28885
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7392966719889797 VAR: 0.0006251439746308893 F1: 0.7374237590968995 SEED: 28885
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7373086315394007 VAR: 0.0007339738087294283 F1: 0.7334195774802941 SEED: 28885
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7379778341316803 VAR: 0.0006558905795147858 F1: 0.736999867082825 SEED: 28885
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7458478131555055 VAR: 0.0004912756682546171 F1: 0.7409465271872877 SEED: 25630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7478554209323439 VAR: 0.0007352453388775164 F1: 0.7455421658093718 SEED: 25630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7327181365642903 VAR: 0.001117543871326085 F1: 0.7307108268573119 SEED: 25630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7406389906389905 VAR: 0.000626185837862174 F1: 0.7389802664207406 SEED: 25630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7419382611690304 VAR: 0.0009039224262966125 F1: 0.7403190463541154 SEED: 25630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7405920290535675 VAR: 0.000551121420684413 F1: 0.7373262857971085 SEED: 25630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7425996368304061 VAR: 0.0007528344308537598 F1: 0.7391083285942633 SEED: 1146
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7373047180739488 VAR: 0.0007356802602634462 F1: 0.7345154332516047 SEED: 1146
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7379817475971322 VAR: 0.0003907526825382579 F1: 0.7358862705486595 SEED: 1146
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.738639209793056 VAR: 0.0005896125606324458 F1: 0.7364127294335916 SEED: 1146
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7373086315394007 VAR: 0.000585770464067708 F1: 0.734225425819553 SEED: 1146
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7432375316990703 VAR: 0.0003965049535849547 F1: 0.741523837137152 SEED: 1146
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7425918098995021 VAR: 0.0007175199415158682 F1: 0.7396277371949371 SEED: 2396
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7392614507999123 VAR: 0.0006931775149859934 F1: 0.7372750187776119 SEED: 2396
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7445759368836291 VAR: 0.0005912122651399148 F1: 0.7407368025706399 SEED: 2396
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7412729720422029 VAR: 0.0007143620367250236 F1: 0.7396565273422718 SEED: 2396
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7406155098462791 VAR: 0.0005145989593275812 F1: 0.7388655168480153 SEED: 2396
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7366276885507655 VAR: 0.0006705699343928962 F1: 0.7352082537181711 SEED: 2396
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7379700072007764 VAR: 0.0009510986697289332 F1: 0.7362803156084998 SEED: 1976
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.739918912995836 VAR: 0.000836447768652097 F1: 0.7376444009317688 SEED: 1976
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7386157290003443 VAR: 0.00037678373907671666 F1: 0.7365362157773705 SEED: 1976
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7313836448451831 VAR: 0.0007908886278078988 F1: 0.7297167051606248 SEED: 1976
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7300843743151435 VAR: 0.0005459265314575469 F1: 0.7268291277878148 SEED: 1976
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7425800695031461 VAR: 0.0008169667885568351 F1: 0.7394045976953991 SEED: 1976
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7386196424657964 VAR: 0.0005853295084883135 F1: 0.7362631717634738 SEED: 31940
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7419617419617421 VAR: 0.0005179521636998521 F1: 0.7399420192499648 SEED: 31940
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7451942644250338 VAR: 0.0005315010721613755 F1: 0.7435077062411642 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7537843210920133 VAR: 0.0002891121151832606 F1: 0.7525271202829121 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7452216586831972 VAR: 0.0008740585595929467 F1: 0.7419724730038817 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7386000751385366 VAR: 0.0011496810974453648 F1: 0.7366981113822347 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7373281988666605 VAR: 0.0005048896357360529 F1: 0.735515471443123 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.745875207413669 VAR: 0.0005456357874759112 F1: 0.744274880714288 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7406115963808271 VAR: 0.0008110657455422928 F1: 0.7388812335528899 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7386196424657964 VAR: 0.0007168567928430465 F1: 0.7356244730644843 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7451942644250338 VAR: 0.0005315010721613755 F1: 0.7435077062411642 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7537843210920133 VAR: 0.0002891121151832606 F1: 0.7525271202829121 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7452216586831972 VAR: 0.0008740585595929467 F1: 0.7419724730038817 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7386000751385366 VAR: 0.0011496810974453648 F1: 0.7366981113822347 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7373281988666605 VAR: 0.0005048896357360529 F1: 0.735515471443123 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.745875207413669 VAR: 0.0005456357874759112 F1: 0.744274880714288 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7406115963808271 VAR: 0.0008110657455422928 F1: 0.7388812335528899 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7386196424657964 VAR: 0.0007168567928430465 F1: 0.7356244730644843 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7451942644250338 VAR: 0.0005315010721613755 F1: 0.7435077062411642 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7537843210920133 VAR: 0.0002891121151832606 F1: 0.7525271202829121 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7452216586831972 VAR: 0.0008740585595929467 F1: 0.7419724730038817 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7386000751385366 VAR: 0.0011496810974453648 F1: 0.7366981113822347 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7373281988666605 VAR: 0.0005048896357360529 F1: 0.735515471443123 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.745875207413669 VAR: 0.0005456357874759112 F1: 0.744274880714288 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7406115963808271 VAR: 0.0008110657455422928 F1: 0.7388812335528899 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7386196424657964 VAR: 0.0007168567928430465 F1: 0.7356244730644843 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7366668232052849 VAR: 0.000266268128980148 F1: 0.7349252604258917 SEED: 27617
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7478828151905075 VAR: 0.0005735891121325317 F1: 0.7465942993551139 SEED: 27617
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.742603550295858 VAR: 0.0008304720486646046 F1: 0.7386485005373848 SEED: 27617
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7511583857737704 VAR: 0.0003701252975756687 F1: 0.7489411964332535 SEED: 27617
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7471979587364204 VAR: 0.00026858764844425904 F1: 0.7456166008292491 SEED: 27617
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7445720234181772 VAR: 0.0006244696764838467 F1: 0.7423779240151377 SEED: 27617
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.741903039979963 VAR: 0.0007967878636274456 F1: 0.7392718410165371 SEED: 27617
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7359819667511975 VAR: 0.0006235609330739049 F1: 0.7336026133393349 SEED: 27617
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7570716320716322 VAR: 0.0006949752758130214 F1: 0.7551329948261704 SEED: 8909
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7564180833411603 VAR: 0.0005873144518344929 F1: 0.754729358152073 SEED: 8909
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7380052283898437 VAR: 0.000720692150714572 F1: 0.7322796461035356 SEED: 8909
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.74849722926646 VAR: 0.0006274556527065354 F1: 0.746082546564748 SEED: 8909
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7333795122256661 VAR: 0.0006208362956261122 F1: 0.7315889194127553 SEED: 8909
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7419421746344823 VAR: 0.000596784674338722 F1: 0.739808376654105 SEED: 8909
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7412768855076547 VAR: 0.0007783765898186005 F1: 0.7402754850171159 SEED: 8909
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7419108669108669 VAR: 0.0008938006640501382 F1: 0.7399024804597745 SEED: 8909
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7406115963808272 VAR: 0.00034460029164809345 F1: 0.7382945740177832 SEED: 19583
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7570520647443725 VAR: 0.0005654372536942087 F1: 0.7550636068378369 SEED: 19583
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7425918098995022 VAR: 0.0006397137644834724 F1: 0.7386665957167802 SEED: 19583
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7418834726527035 VAR: 0.0010513438681328756 F1: 0.7400571035648775 SEED: 19583
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7405959425190194 VAR: 0.000672392689645654 F1: 0.7384010902342509 SEED: 19583
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7432649259572338 VAR: 0.0005148323631560749 F1: 0.7412749649980603 SEED: 19583
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.742599636830406 VAR: 0.0002859973686593916 F1: 0.740546067464171 SEED: 19583
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7524889640274257 VAR: 0.0006514015071409354 F1: 0.7501829764745422 SEED: 19583
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7458752074136689 VAR: 0.0004989520812564738 F1: 0.744059231369276 SEED: 16141
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7366629097398328 VAR: 0.00031493196956924494 F1: 0.7348899408900351 SEED: 16141
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7326907423061269 VAR: 0.0006027561366973211 F1: 0.729935756598314 SEED: 16141
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7478319401396324 VAR: 0.000630756050228371 F1: 0.7454380712333983 SEED: 16141
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7353362449516295 VAR: 0.00034294980189815123 F1: 0.7337347950975446 SEED: 16141
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7465365830750446 VAR: 0.00037507958482447504 F1: 0.7453919498768794 SEED: 16141
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7373125450048528 VAR: 0.0008715752286229585 F1: 0.734852667944642 SEED: 16141
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.740631163708087 VAR: 0.0005053467641791546 F1: 0.7394373611155977 SEED: 16141
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7478515074668921 VAR: 0.00023907480639604538 F1: 0.7461997123785264 SEED: 409
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.755091418552957 VAR: 0.00035513103131163337 F1: 0.7534214103447159 SEED: 409
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7425878964340502 VAR: 0.000626086135833074 F1: 0.7404836503248304 SEED: 409
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7399502207194515 VAR: 0.0008263245361452873 F1: 0.7379763137741393 SEED: 409
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7458830343445728 VAR: 0.00019881249282874424 F1: 0.7435611821410303 SEED: 409
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7412847124385586 VAR: 0.00034594557985641945 F1: 0.7396537918195456 SEED: 409
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7307418365110673 VAR: 0.0006164203687040264 F1: 0.7291113624010951 SEED: 409
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.741269058576751 VAR: 0.0005490833641835607 F1: 0.7392903826207339 SEED: 409
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7478749882596037 VAR: 0.00032142904999831075 F1: 0.7460805833481357 SEED: 2192
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.761681694374002 VAR: 0.00020198399752770465 F1: 0.7597438736458852 SEED: 2192
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7438949938949937 VAR: 0.0007841770425217552 F1: 0.7397617746427491 SEED: 2192
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7438989073604457 VAR: 0.0005958699886265853 F1: 0.740804410784751 SEED: 2192
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7425526752449829 VAR: 0.0008888669604460507 F1: 0.7405721938329495 SEED: 2192
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7399697880467111 VAR: 0.00045764327926391086 F1: 0.738264842014591 SEED: 2192
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7379700072007764 VAR: 0.0007780670387568214 F1: 0.7360123489875079 SEED: 2192
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7359976206130052 VAR: 0.0007077283139758912 F1: 0.734175564182066 SEED: 2192
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7452138317522934 VAR: 0.0003647248475754396 F1: 0.7433972938291267 SEED: 15050
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7603824238439623 VAR: 0.0005718951884418026 F1: 0.7586277385738186 SEED: 15050
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7426152906922139 VAR: 0.0008799712115380664 F1: 0.7388808937779108 SEED: 15050
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7386431232585079 VAR: 0.0005639963985639788 F1: 0.7357001359262877 SEED: 15050
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7505126639742026 VAR: 0.0004377576406413234 F1: 0.7483773887123886 SEED: 15050
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7518041075733384 VAR: 0.0004732971410716193 F1: 0.7493946676196731 SEED: 15050
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7386392097930561 VAR: 0.0004968025606438258 F1: 0.7367450883694462 SEED: 15050
